epoch,dev_f1,dev_precision,dev_recall,dev_support,loss,test_f1,test_precision,test_recall,test_support
0,nan,nan,nan,nan,0.5144058752059937,nan,nan,nan,nan
1,nan,nan,nan,nan,0.5640828847885132,nan,nan,nan,nan
2,nan,nan,nan,nan,0.24155866384506225,nan,nan,nan,nan
3,nan,nan,nan,nan,0.1521138608455658,nan,nan,nan,nan
4,"""[0.903519576008659, 0.5273358932163101]""","""[0.9072103132963574, 0.5170311939763356]""","""[0.8998587465615939, 0.5380597014925373]""","""[13451, 2680]""",0.10422241330146789,"""[0.8806013681921834, 0.675552993731537]""","""[0.8847301401246737, 0.6670935610103166]""","""[0.8765109527579836, 0.6842297307159017]""","""[37890, 13703]"""
5,nan,nan,nan,nan,0.08976041078567505,nan,nan,nan,nan
6,nan,nan,nan,nan,0.08940202236175537,nan,nan,nan,nan
7,nan,nan,nan,nan,0.07374700337648392,nan,nan,nan,nan
8,nan,nan,nan,nan,0.06813946515321731,nan,nan,nan,nan
9,"""[0.9005120424805613, 0.5551975580803798]""","""[0.9192349388260802, 0.5088591855766241]""","""[0.8825366143781131, 0.610820895522388]""","""[13451, 2680]""",0.06458050221204757,"""[0.8992781601477253, 0.7728849914831872]""","""[0.9567779960707269, 0.6806489249402745]""","""[0.8482977038796516, 0.8940378019411808]""","""[37890, 13703]"""
10,nan,nan,nan,nan,0.05765154182910919,nan,nan,nan,nan
11,nan,nan,nan,nan,0.052953795194625855,nan,nan,nan,nan
12,nan,nan,nan,nan,0.048415770828723906,nan,nan,nan,nan
13,nan,nan,nan,nan,0.0468513298034668,nan,nan,nan,nan
14,"""[0.9142644873699852, 0.5679520778734556]""","""[0.9136535748756404, 0.5698722764838468]""","""[0.9148762173816073, 0.566044776119403]""","""[13451, 2680]""",0.04393031030893326,"""[0.9147903700616995, 0.7798423227867886]""","""[0.932169958633537, 0.7440026507620942]""","""[0.8980469780944841, 0.8193096402247683]""","""[37890, 13703]"""
15,nan,nan,nan,nan,0.0396548256278038,nan,nan,nan,nan
16,nan,nan,nan,nan,0.038290055096149446,nan,nan,nan,nan
17,nan,nan,nan,nan,0.0360110479593277,nan,nan,nan,nan
18,nan,nan,nan,nan,0.05070577979087829,nan,nan,nan,nan
19,"""[0.8827785817655572, 0.552352501867065]""","""[0.9314130075932651, 0.46052303860523036]""","""[0.8389710802170842, 0.6899253731343283]""","""[13451, 2680]""",0.052002650201320645,"""[0.8690813465254472, 0.7377244811828739]""","""[0.9667086848314426, 0.6135857461024499]""","""[0.7893639482713117, 0.9248339779610304]""","""[37890, 13703]"""
